
 |  $x   $|   $F(x)      $|
 | -10,00 |      5,999995 |
 |  -9,00 |      6,000083 |
 |  -8,00 |      6,000303 |
 |  -7,00 |      6,000887 |
 |  -6,00 |      6,002461 |
 |  -5,00 |      6,006725 |
 |  -4,00 |      6,018308 |
 |  -3,00 |      6,049783 |
 |  -2,00 |      6,135333 |
 |  -1,00 |      6,367879 |
 |   0,00 |      7,000000 |
 |   1,00 |      8,718281 |
 |   2,00 |     13,389054 |
 |   3,00 |     26,085532 |
 |   4,00 |     60,598142 |
 |   5,00 |    154,413147 |
 |   6,00 |    409,428775 |
 |   7,00 |   1102,633134 |
 |   8,00 |   2986,957955 |
 |   9,00 |   8109,083887 |
 |  10,00 |  22032,465745 |
